Team, Player 1, Player 2, Player 3, Player 4, Player 5
ATL, S. Bey, C. Capela, J. Johnson, D. Murray, T. Young
BOS, J. Brown, J. Holiday, K. Porzingis, J. Tatum, D. White
BRK, M. Bridges, N. Claxton, S. Dinwiddie, D. Finney-Smith, C. Johnson
CHI, A. Caruso, D. DeRozan, A. Dosunmu, N. Vucevic, C. White
CHO, M. Bridges, T. Mann, V. Micic, B. Miller, N. Richards
CLE, J. Allen, D. Garland, D. Mitchell, E. Mobley, M. Strus
DAL, L. Doncic, D. Gafford, K. Irving, D. Jones, P. Washington
DEN, K. Caldwell-Pope, A. Gordon, N. Jokic, J. Murray, M. Porter
DET, C. Cunningham, J. Duren, J. Ivey, I. Stewart, A. Thompson
GSW, S. Curry, D. Green, J. Kuminga, B. Podziemski, A. Wiggins
HOU, D. Brooks, J. Green, A. Sengun, J. Smith, F. VanVleet
IND, T. Haliburton, A. Nembhard, A. Nesmith, P. Siakam, M. Turner
LAC, P. George, J. Harden, K.Leonard, T.Mann, I.Zubac
LAL, A. Davis, R. Hachimura, L. James, A. Reaves, D. Russell
MEM, D. Bane, J. Jackson, M. Smart, X. Tillman, Z. Williams
MIA, B. Adebayo, J. Butler, N. Jovic, D. Robinson, T. Rozier
MIL, G. Antetokounmpo, M. Beasley, D. Lillard, B. Lopez, K. Middleton
MIN, M. Conley, A. Edwards, R. Gobert, J. McDaniels, K. Towns
NOP, B. Ingram, H. Jones, C. McCollum, J. Valanciunas, Z. Williamson
NYK, R. Barrett, J. Brunson, Q. Grimes, J. Randle, M. Robinson
OKC, L. Dort, J. Giddey, S. Gilgeous-Alexander, C. Holmgren, J. Williams
ORL, P. Banchero, G. Bitadze, A. Black, J. Suggs, F. Wagner
PHI, N. Batum, J. Embiid, T. Harris, T. Maxey, D. Melton
PHO, G. Allen, B. Beal, D. Booker, K. Durant, J. Nurkic
POR, D. Ayton, S. Henderson, K. Murray, R. Rupert, J. Walker
SAC, H. Barnes, D. Fox, K. Huerter, K. Murray, D. Sabonis
SAS, J. Champagnie, T. Jones, J. Sochan, D. Vassell, V. Wembanyama
TOR, O. Anunoby, S. Barnes, J. Poeltl, D. Schroder, P. Siakam
UTA, J. Collins, K. Dunn, S. Fontecchio, L. Markkanen, C. Sexton
WAS, D. Avdija, D. Gafford, T. Jones, K. Kuzma, J. Poole